 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
277,0.011,15195.343,1081.226,12768,21449,167.374,1590359765.000
278,0.011,615.303,42.863,407,819,6.777,64398233.000
279,0.011,691.807,65.317,445,983,7.620,72405247.000
280,0.011,841.825,143.320,509,1273,9.273,88106287.000
281,0.011,823.865,132.797,422,1307,9.075,86226577.000
282,0.011,972.330,158.751,580,1745,10.710,101765012.000
283,0.011,800.481,133.993,496,1545,8.817,83779137.000
284,0.011,9441.399,604.063,7435,16751,103.995,988146304.000
285,0.011,611.059,90.680,359,915,6.731,63954035.000
286,0.011,872.427,149.369,470,1480,9.610,91309050.000
287,0.011,997.466,138.208,588,1476,10.987,104395740.000
288,0.011,793.234,113.418,516,1547,8.737,83020632.000
289,0.011,869.857,168.626,516,1344,9.581,91040139.000
290,0.011,786.215,88.777,524,1335,8.660,82286089.000
291,0.011,12710.224,892.605,3146,15718,140.001,1330264715.000
292,0.011,588.644,64.189,354,806,6.484,61608019.000
293,0.011,773.621,103.954,470,1309,8.521,80967944.000
294,0.011,1033.823,151.185,574,1834,11.387,108201000.000
295,0.011,571.587,78.943,357,822,6.296,59822877.000
296,0.011,555.231,66.957,280,815,6.116,58111026.000
297,0.011,689.033,66.914,437,1101,7.590,72114837.000
298,0.011,13639.165,719.205,11206,16356,150.233,1427488696.000
299,0.011,693.646,79.405,427,968,7.640,72597706.000
300,0.011,759.284,143.214,481,1314,8.363,79467406.000
301,0.011,632.186,73.135,403,989,6.963,66165223.000
302,0.011,633.752,45.325,386,829,6.981,66329090.000
303,0.011,632.189,60.968,364,898,6.963,66165534.000
304,0.011,555.643,68.926,341,1345,6.120,58154127.000
305,0.011,14197.986,1002.286,11934,20030,156.388,1485975430.000
306,0.011,647.460,48.139,385,877,7.132,67763804.000
307,0.011,721.700,73.530,486,1059,7.949,75533806.000
308,0.011,862.229,151.676,536,1361,9.497,90241733.000
309,0.011,871.608,138.703,468,1325,9.601,91223375.000
310,0.011,1021.195,168.246,571,1900,11.248,106879265.000
311,0.011,849.387,140.007,501,1565,9.356,88897701.000
312,0.011,8851.940,604.260,6755,16301,97.502,926452919.000
313,0.011,650.816,96.942,378,969,7.169,68115091.000
314,0.011,931.079,158.562,488,1494,10.256,97447624.000
315,0.011,1044.267,146.682,628,1569,11.502,109294048.000
316,0.011,831.964,120.808,507,1595,9.164,87074197.000
317,0.011,893.462,175.051,539,1427,9.841,93510594.000
