Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev,Species_1_Mean,Species_1_STDEV,Species_2_Mean,Species_2_STDEV,Species_3_Mean,Species_3_STDEV
131,60910,10,9,6,10635.514,1848.792,12225.734,1064.53,10274.313,1259.83,11987.821,573.678
132,60911,9,6,11,12627.527,3578.001,9582.252,1407.082,10586.809,984.387,16778.119,2390.926
133,60711,6,11,7,13701.731,2220.865,12625.459,655.631,14552.128,2756.212,13998.838,710.848
134,40607,6,4,7,14855.506,2224.485,15573.688,1634.206,16650.148,2825.721,14681.666,573.186
135,40710,4,7,10,22046.281,4515.598,23693.096,1475.117,17200.487,1809.09,22475.368,2540.284
136,30410,4,3,10,17529.298,5410.778,30282.439,9000.521,15775.279,2685.292,22045.283,1797.768
137,30510,3,10,5,17913.286,6604.217,15581.306,1237.976,35602.617,3789.688,16043.498,2011.313
138,30507,3,7,5,16728.479,5452.984,28585.172,2007.488,15988.351,1867.799,23918.875,1928.159
139,40507,7,5,4,13936.819,6218.839,12882.395,2128.42,29941.118,1726.338,12100.355,1760.59
140,40607,7,6,4,16043.074,4761.004,26217.957,7431.147,13470.856,1022.141,21099.318,996.438
141,40611,6,4,11,16846.11,4202.506,14703.549,1271.039,21438.786,1690,14898.744,1218.669
142,10611,6,1,11,24628.299,7753.495,24404.012,3518.812,18437.656,4031.903,21745.395,3451.293
143,10711,1,11,7,23018.972,6566.476,18114.381,1734.652,27603.819,2148.924,19503.733,4120.578
144,10711,1,11,7,25420.713,7356.398,25875.729,3105.947,17547.767,2948.991,24934.161,3818.519
145,50711,11,7,5,20495.661,7244.482,12546.677,1213.262,17716.549,1700.81,31592.627,3878.929
146,20511,11,2,5,17143.406,3795.902,20868.959,1401.777,22319.668,1693.37,23241.352,1611.885
147,20405,2,5,4,14375.03,7891.303,13344.126,7879.072,18003.196,14321.098,21339.648,1756.93
148,20409,2,9,4,13198.099,4524.136,11614.955,1217.083,16811.176,1426.294,17723.66,12317.379
149,40910,9,4,10,15415.958,7132.078,13226.67,7518.429,20807.805,13428.554,22838.282,1394.659
150,91011,9,11,10,15003.371,4312.986,9443.039,1323.427,21628.765,1143.753,20394.547,2550.017
151,91011,11,10,9,19470.067,5073.315,15289.089,2870.147,16118.147,4061.724,21313.994,2066.327
152,60911,11,6,9,5827.969,917.894,7029.313,410.488,6638.521,227.78,6137.207,621.536
153,30609,6,9,3,6674.848,1397.688,6578.715,355.55,7376.769,821.617,8714.488,2004.403
154,30611,6,11,3,15364.673,4882.214,11709.426,2236.294,22888.493,1950.488,15106.998,779.192
155,40711,11,7,4,11774.089,2333.944,10650.008,1233.183,11540.091,1732.107,13551.023,1377.445
156,30407,7,4,3,10728.637,2901.989,9927.102,655.226,15706.917,3284.462,8296.94,1050.037
157,30710,7,10,3,16566.142,3218.175,18341.872,1487.113,20470.851,1629.739,12879.002,751.854
158,30910,10,3,9,19265.813,4132.662,16664.872,2192.089,16122.072,1398.102,24505.93,2449.979
159,50910,10,5,9,19628.425,5706.124,25141.997,700.818,11884.612,2687.962,21633.065,4753.236
160,50910,5,9,10,16380.854,4749.501,10546.145,1144.869,22946.379,2641.224,17259.377,1600.84
161,40510,5,4,10,11659.225,8881.983,32693.236,17832.576,11223.677,5547.354,16375.918,2683.954
162,20410,4,10,2,17555.173,6238.068,12781.503,1540.19,29726.99,4153.72,23818.602,2419.222
163,20411,4,11,2,15095.308,2528.266,20144.842,691.766,14958.878,633.157,15751.01,1155.787
164,20511,11,2,5,16008.308,6401.684,12773.34,1877.826,28770.775,3916.76,23015.467,3195.128
165,50711,11,7,5,11616.422,3830.972,11731.378,2881.254,12654.168,2109.929,18664.039,2888.637
166,20507,7,5,2,13297.372,6060.343,9286.987,1653.52,23855.381,5791.52,20609.971,2524.852
167,20507,7,5,2,13916.175,4475.093,12305.444,1788.778,19719.067,1441.653,21059.592,2058.088
168,20508,5,2,8,15693.7,5917.047,16227.153,1692.622,14499.991,2650.101,29513.982,3377.196
169,40508,5,4,8,14757.061,11886.985,16464.002,12817.571,16988.96,1787.609,41209.157,20538.949
170,40608,4,8,6,23413.127,3991.616,22544.765,1055.526,27567.966,1460.483,28492.393,2472.868
171,40610,4,10,6,24493.142,4382.539,24934.525,1775.002,25254.074,1645.965,25911.102,1256.578
172,60810,10,6,8,21888.012,4589.003,22356.384,1097.005,23995.713,1161.437,30408.173,3107.674
173,80910,10,9,8,19329.411,4346.393,16069.816,4301.678,20729.983,633.239,23547.655,2524.955
174,80911,9,8,11,14314.064,2478.532,15664.853,1850.811,14810.282,1840.511,16105.867,1577.004
175,30911,9,3,11,10682.623,2551.218,11339.658,1638.536,10031.888,1435.24,10788.338,2676.425
176,10311,3,11,1,9255.953,3225.636,9653.286,2700.569,7396.948,1302.036,8206.764,1233.101
