Combo,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
40511,549.369,550.482,555.25,559.212,567.652,576.827,584.067,595.229,614.616,640.461,684.83,748.984,789.549,822.662,856.926,889.745,923.172,953.775,976.321,1000.317,1019.197,1033.881,1046.45,1057.148,1066.32
40506,523.985,521.416,523.505,524.114,526.596,529.487,531.572,537.778,547.626,565.316,595.642,633.385,666.83,700.37,736.516,771.637,804.41,833.306,855.251,878.246,897.559,913.461,927.474,938.888,948.306
50611,546.654,540.816,542.496,544.479,550.138,555.384,561.103,571.287,586.263,606.336,659.607,770.653,840.134,880.665,926.474,972.301,1012.933,1048.018,1071.05,1099.959,1125.568,1144.755,1161.001,1176.084,1188.075
30611,562.903,554.693,554.049,553.284,556.154,558.505,557.887,560.657,565.528,575.604,589.519,656.596,843.517,1158.835,1723.857,2423.267,3061.527,3564.169,3916.377,4334.113,4636.195,4805.691,4861.889,4891.11,4913.504
20311,536.7,529.922,530.524,531.28,535.203,539.06,542.202,550.077,560.007,574.238,668.957,1019.049,1592.617,2528.66,3726.814,4857.128,5712.408,6314.058,6732.938,7215.388,7475.295,7524.498,7478.84,7410.42,7342.158
20306,541.933,533.844,532.468,530.046,529.424,527.752,524.694,524.651,526.665,536.391,558.238,639.751,1004.872,1549.03,2370.872,3304.22,4165.4,4833.228,5289.62,5860.751,6283.634,6507.035,6568.104,6555.018,6520.265
20609,532.86,524.208,522.324,520.136,518.971,517.595,514.155,514.602,522.231,542.474,630.501,1086.907,1939.284,3294.989,4991.338,6563.557,7697.147,8455.101,9101.885,9949.713,10365.722,10481.959,10482.398,10408.312,10308.171
60709,558.597,549.497,546.974,543.891,542.692,540.801,537.497,536.988,538.802,549.772,569.99,627.98,858.411,1302.833,1943.842,2710.447,3464.791,4084.214,4515.029,5024.574,5438.138,5679.739,5776.284,5810.045,5799.206
40709,524.789,515.769,513.698,511.738,511.515,512.77,512.768,517.924,530.076,553.606,618.496,861.574,1344.77,2113.695,3190.298,4312.291,5241.748,5903.579,6321.807,6982.181,7468.394,7690.752,7755.359,7758.066,7728.127
20407,560.932,550.016,547.366,544.307,543.999,545.148,546.392,551.968,560.096,576.911,608.201,699.984,922.604,1268.365,1762.805,2324.239,2806.364,3134.213,3296.983,3470.357,3584.678,3657.719,3683.377,3682.287,3674.87
20405,522.866,512.075,509.214,507.21,508.83,512.629,515.938,526.542,549.555,616.763,814.572,1061.807,1190.038,1249.23,1310.976,1366.679,1409.401,1441.268,1453.585,1479.983,1499.292,1512.93,1522.317,1528.017,1528.2
20509,534.921,524.841,522.383,519.114,519.193,519.429,520.511,527.513,539.968,565.757,652.289,869.048,1029.481,1091.467,1124.273,1153.725,1178.603,1198.417,1205.256,1219.939,1233.106,1242.739,1252.221,1259.937,1266.608
50709,544.972,533.792,530.347,527.416,526.719,527.194,526.921,533.443,551.02,587.166,732.834,1033.651,1256.78,1378.952,1475.314,1562.865,1629.478,1679.275,1706.136,1747.725,1775.34,1790.505,1802.644,1809.793,1814.017
70910,521.826,511.992,509.605,506.966,506.676,506.463,504.874,508.126,515.225,529.057,567.697,755.857,1227.507,1898.882,2884.603,3940.87,4807.281,5447.383,5921.647,6515.501,6857.776,6951.86,6930.075,6880.482,6822.362
10710,546.385,533.183,529.971,526.931,526.035,524.9,521.829,522.844,526.408,537.241,566.166,672.472,1109.21,1793.71,2782.757,3889.308,4855.922,5551.162,5986.063,6566.925,6952.25,7053.844,7020.574,6991.199,6951.441
10610,520.499,510.357,507.865,505.08,504.159,503.206,499.156,499.508,500.144,503.816,518.74,543.374,588.326,717.51,1004.173,1355.3,1751.958,2104.368,2384.804,2658.714,2850.465,3014.054,3135.2,3186.295,3206.769
10506,549.604,536.291,533.022,530.217,529.689,529.569,528.71,532.289,538.255,554.556,582.109,626.664,696.038,765.311,826.74,881.98,929.951,971.692,1003.361,1042.507,1074.047,1102.399,1126.168,1145.557,1161.736
50609,517.199,509.35,507.55,505.394,505.326,505.409,503.701,507.972,515.15,530.721,552.589,592.188,656.175,704.726,740.706,771.858,801.68,829.462,852.169,877.875,900.732,919.72,935.972,950.103,962.77
10509,541.17,532.28,532.591,530.846,531.034,531.433,531.605,537.102,545.522,563.092,586.747,618.713,659.905,694.345,727.609,758.364,787.372,816.002,839.813,865.942,890.925,908.944,923.911,936.707,946.859
10709,546.576,543.071,542.015,539.818,539.151,537.713,534.818,535.29,537.441,543.2,553.968,566.586,585.884,654.187,837.428,1060.477,1315.303,1599.342,1883.632,2234.776,2553.706,2788.625,2950.831,3055.087,3128.597
70911,629.448,637.324,642.913,646.884,654.172,658.542,659.036,666.097,679.392,695.326,706.755,726.998,796.236,924.375,1090.25,1332.502,1661.058,2019.054,2362.043,2740.529,3079.477,3376.88,3635.243,3832.688,3993.302
70911,565.6,572.317,575.974,578.661,583.19,586.816,582.738,588.256,600.931,613.216,618.438,645.234,732.391,862.299,1048.525,1328.601,1682.434,2030.743,2352.531,2720.111,3029.736,3305.091,3553.393,3721.352,3835.196
