LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
247,18554.476,1591.821,13056,22317,11142144830,1054877617
248,22783.98,1543.473,16246,25243,13682003643,1295337623
249,18188.298,2235.117,11035,22250,10922251282,1034059293
250,21288.007,2149.477,15330,24863,12783657124,1210287065
251,16142.137,1998.385,11123,20735,9693511749,917728923
252,23246.233,3599.415,14362,30150,13959590886,1321618072
253,20028.598,3860.298,11739,28495,12027369523,1138685872
254,21902.01,2290.417,14227,26419,13152371871,1245194970
255,26831.367,3184.06,15105,31211,16112499388,1525443729
256,22718.782,3068.13,15418,28658,13642851508,1291630912
257,19597.018,1232.246,16197,22160,11768201749,1114149278
258,17285.121,727.591,15007,19218,10379884959,982711002
259,31278.088,3357.339,19235,37197,18782798591,1778253121
260,22438.038,1702.341,16322,26234,13474261798,1275669756
261,26317.929,3226.362,15802,30262,15804174700,1496253226
262,23280.169,2657.899,14789,27780,13979969803,1323547437
263,19969.916,1070.639,16663,22182,11992130551,1135349638
264,19866.461,1684.679,13189,23728,11930004799,1129467910
265,28435.125,4903.461,15215,34994,17075571364,1616622141
266,23508.045,1641.379,16854,27207,14116811575,1336502871
267,25727.541,3270.394,15245,29948,15449640733,1462687880
268,25378.336,3930.591,12677,31346,15239939818,1442834539
269,21508.205,1218.776,18503,24503,12915888048,1222805969
270,25393.249,3560.278,12301,30219,15248895266,1443682392
271,26696.2,5009.939,6804,32224,16031330114,1517759064
272,22632.642,1914.176,16625,26905,13591123312,1286733568
273,25375.115,2794.546,13716,30698,15238005729,1442651430
274,22957.175,3603.442,8581,28165,13786008651,1305184251
275,24207.736,2047.238,19532,30827,14536983040,1376282418
276,22634.099,2299.504,7391,26250,13591998637,1286816439
277,23987.311,4983.362,6823,30104,14404615544,1363750584
278,16455.978,1261.743,12941,18990,9881975997,935571692
279,26297.918,2144.493,7674,29833,15792157627,1495115515
280,15626.767,1561.146,6159,19154,9384026929,888428585
281,19578.43,2366.282,15653,26365,11757039542,1113092501
282,14951.937,1959.623,6254,18986,8978785019,850062487
283,15123.064,2966.184,4467,20622,9081548511,859791575
284,12232.51,904.787,7441,17669,7345742445,695454906
285,9979.986,1549.102,3478,16499,5993079563,567392148
286,10859.742,2131.162,3696,15924,6521381654,617408914
287,26752.649,7444.801,5457,35007,16065227975,1520968329
288,19713.787,4520.792,5271,24759,11838322553,1120787934
289,26827.667,1341.482,21853,29241,16110277038,1525233329
290,18049.539,2716.496,5487,22546,10838925473,1026170459
291,26668.795,1836.92,7296,29985,16014872967,1516200991
292,24055.857,2038.884,11689,28310,14445778345,1367647654
293,18455.659,3834.335,5494,24269,11082804103,1049259560
294,15006.934,2634.097,5002,18745,9011811242,853189230
295,30190.817,1549.452,26258,33947,18129881910,1716438524
296,15896.499,1595.903,6292,19112,9546003722,903763666
297,33282.305,3019.87,13235,37674,19986350786,1892198891
298,22211.734,1907.285,13904,25633,13338364081,1262803700
299,29486.303,5092.966,6981,34720,17706814249,1676384781
300,23579.917,3644.111,6115,28013,14159971693,1340589036
301,30783.22,1486.037,25873,33991,18485625854,1750118424
302,21964.075,2287.402,11132,26040,13189642360,1248723537
303,30062.287,2373.319,18635,33428,18052698311,1709131201
304,19236.927,2652.514,14202,24942,11551963408,1093677009
305,27479.885,3171.954,10723,33417,16501940484,1562313892
306,16486.685,1937.04,8037,19810,9900416157,937317506
307,16407.53,2070.705,11662,20586,9852882837,932817310
308,17315.667,2801.453,10112,21790,10398228134,984447634
309,20656.486,2882.348,13845,25604,12404422413,1174383187
310,12062.933,1781.988,8454,15378,7243909699,685813936
311,28900.804,2906.994,18405,33177,17355216678,1643097437
312,20863.016,2387.704,12413,25027,12528445925,1186125058
313,20510.929,1809.038,15339,24588,12317013849,1166107820
314,15833.594,1255.942,11788,18638,9508228578,900187321
315,19862.802,2649.079,11275,24446,11927807303,1129259863
316,16325.293,2518.867,10264,21768,9803498840,928141902
