LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
120,4170.151,252.896,3315,5001,2504216692,237085604
121,4402.512,336.156,2830,5160,2643751511,250296001
122,4988.202,612.743,3690,6962,2995464097,283594234
123,3791.011,471.252,1875,5239,2276539058,215530325
124,4554.926,283.182,3387,5313,2735277506,258961184
125,3185.82,287.348,2567,4233,1913116282,181123435
126,4076.404,187.644,3327,4668,2447920638,231755800
127,4166.605,383.265,2448,5001,2502086997,236883976
128,3891.503,195.415,3113,4708,2336885779,221243624
129,4544.184,431.718,2617,5300,2728826913,258350477
130,4589.483,358.727,2750,5392,2756029629,260925882
131,4507.509,206.184,3563,5238,2706803636,256265433
132,4523.855,381.971,2878,5314,2716619072,257194705
133,4521.112,520.183,2574,5577,2714971839,257038754
134,5314.961,361.335,4404,6503,3191685951,302171451
135,4352.927,370.21,2750,5032,2613975432,247476964
136,4425.697,523.861,2553,5360,2657674766,251614179
137,4126.58,197.724,3260,4738,2478051626,234608438
138,3949.454,351.904,2449,5040,2371685836,224538304
139,4019.67,548.748,2251,5003,2413851484,228530318
140,4170.288,223.217,3376,5283,2504299027,237093399
141,4300.11,431.215,2308,5850,2582258220,244474151
142,3883.346,459.364,2010,4978,2331987292,220779862
143,4147.335,151.254,3482,4930,2490515155,235788417
144,4127.657,413.722,2119,5819,2478698379,234669669
145,4463.303,717.496,2492,6093,2680256979,253752140
146,4357.829,175.771,3626,5050,2616918863,247755632
147,4020.565,521.851,1920,6745,2414388756,228581184
148,4046.855,505.974,2137,5643,2430175859,230075821
149,3711.593,177.689,3128,4574,2228848272,211015221
150,5403.433,711.135,2738,6862,3244814682,307201390
151,3896.384,904.875,1632,7020,2339816830,221521120
152,2847.041,177.975,2289,3451,1709675783,161862796
153,3657.589,637.832,1830,6955,2196418038,207944903
154,2860.144,461.871,1799,5979,1717544497,162607763
155,3944.126,494.503,2394,5320,2368486592,224235417
156,4473.836,836.956,2278,5723,2686582596,254351015
157,3893.96,201.21,3111,4533,2338361360,221383324
158,3710.056,473.101,2249,4449,2227925226,210927832
159,4745.553,353.094,2627,5715,2849751124,269798923
160,5189.993,514.88,3078,6430,3116641744,295066674
161,3922.209,423.917,2417,4686,2355324830,222989333
162,3638.009,471.772,2117,4479,2184660201,206831735
163,4577.789,217.766,3787,5195,2749007309,260261047
164,3132.103,288.009,2045,3726,1880858618,178069455
165,4621.794,273.534,3617,5498,2775432413,262762832
166,3964.723,334.61,2498,4812,2380854804,225406372
167,4225.747,407.657,2532,5104,2537602758,240246415
168,4438.084,526.187,2580,5391,2665113068,252318397
169,4465.989,350.179,3617,5554,2681870242,253904875
170,3774.665,268.367,2535,4375,2266723337,214601026
171,3862.244,271.728,2974,4738,2319315176,219580135
172,4831.423,312.037,3059,6098,2901316732,274680874
173,4689.522,359.434,3033,5684,2816104217,266613417
174,3465.319,436.076,2180,4401,2080957851,197013761
175,4858.209,257.764,3975,5791,2917402046,276203744
176,3157.919,212.182,2259,3763,1896361474,179537181
177,4595.613,178.782,3848,5539,2759710744,261274390
178,4165.93,353.413,3262,5391,2501681766,236845611
179,4077.249,314.721,3157,5031,2448427933,231803828
180,3730.904,336.117,2321,4479,2240444228,212113063
181,4320.164,206.663,3523,5058,2594300759,245614273
182,3764.424,187.775,2949,4370,2260573406,214018784
183,4231.761,375.72,3066,5398,2541214215,240588328
184,4516.33,330.114,3378,5588,2712100550,256766916
185,4278.484,382.97,3263,5459,2569271468,243244636
186,4562.49,383.155,2924,5503,2739819941,259391237
187,4200.975,217.905,3576,4896,2522726533,238838015
188,4139.86,169.06,3442,4798,2486026525,235363458
189,4551.188,415.397,3463,5870,2733033028,258748689
190,4112.675,419.42,2969,5300,2469701938,233817935
